Cycles	Fluorescence	Sample	genotype
1	-0.026747811	A6	N
2	0.017110446	A6	N
3	-0.00636463	A6	N
4	0.003030116	A6	N
5	-0.00375838	A6	N
6	-0.010017552	A6	N
7	-0.032984067	A6	N
8	-0.018076461	A6	N
9	-0.01832	A6	N
10	-0.032697031	A6	N
11	-0.047307705	A6	N
12	-0.024077265	A6	N
13	-0.038201652	A6	N
14	-0.053856087	A6	N
15	-0.044518431	A6	N
16	0.016590295	A6	N
17	0.028719537	A6	N
18	0.01254497	A6	N
19	-0.008703589	A6	N
20	0.006726897	A6	N
21	-0.039287816	A6	N
22	0.01479088	A6	N
23	0.006647153	A6	N
24	-0.032101913	A6	N
25	-0.015121588	A6	N
26	-0.030592389	A6	N
27	-0.061412641	A6	N
28	-0.008942257	A6	N
29	0.007130267	A6	N
30	-0.0164193	A6	N
31	-0.026340797	A6	N
32	-0.019098749	A6	N
33	0.001727586	A6	N
34	-0.012495249	A6	N
35	-0.01361534	A6	N
36	0.047263479	A6	N
37	0.100427129	A6	N
38	0.199336822	A6	N
39	0.429809504	A6	N
40	0.845406968	A6	N
1	0.005630471	B1	S5
2	0.021390778	B1	S5
3	0.020681445	B1	S5
4	0.005171347	B1	S5
5	-0.037162506	B1	S5
6	-0.010081065	B1	S5
7	-0.036175147	B1	S5
8	-0.027796275	B1	S5
9	-0.036643455	B1	S5
10	-0.02729713	B1	S5
11	-0.026800517	B1	S5
12	-0.043576258	B1	S5
13	-0.051256425	B1	S5
14	-0.008577084	B1	S5
15	-0.01554157	B1	S5
16	-0.047328764	B1	S5
17	-0.024282143	B1	S5
18	-0.016602159	B1	S5
19	0.010760135	B1	S5
20	-0.006284712	B1	S5
21	0.036408879	B1	S5
22	0.063306673	B1	S5
23	0.157798801	B1	S5
24	0.33835814	B1	S5
25	0.64284461	B1	S5
26	1.100697158	B1	S5
27	1.878206175	B1	S5
28	2.949395008	B1	S5
29	4.309736401	B1	S5
30	5.857502534	B1	S5
31	7.417732046	B1	S5
32	9.001613962	B1	S5
