Cycles	Fluorescence	Sample	genotype
8	-0.111812145	A7	S28
9	-0.110322484	A7	S28
10	-0.103092951	A7	S28
11	-0.208841828	A7	S28
12	-0.099941982	A7	S28
13	-0.098432365	A7	S28
14	-0.198044087	A7	S28
15	-0.407117993	A7	S28
16	-0.243889046	A7	S28
17	-0.185883695	A7	S28
18	-0.23651624	A7	S28
19	-0.238289891	A7	S28
20	-0.129581768	A7	S28
21	-0.282868392	A7	S28
22	-0.286193278	A7	S28
23	-0.286996903	A7	S28
24	-0.237550005	A7	S28
25	-0.232157747	A7	S28
26	-0.12896662	A7	S28
27	0.040523619	A7	S28
28	0.351191703	A7	S28
29	0.733200593	A7	S28
30	1.050213146	A7	S28
31	1.465259428	A7	S28
32	1.894650482	A7	S28
33	2.3648922	A7	S28
34	2.642990027	A7	S28
35	2.850659808	A7	S28
36	3.245993518	A7	S28
37	3.287049087	A7	S28
38	3.42734246	A7	S28
39	3.601215023	A7	S28
40	3.862684678	A7	S28
1	-0.072817036	B1	S28
2	-0.130872677	B1	S28
3	-0.069877634	B1	S28
4	0.106024755	B1	S28
5	0.048564101	B1	S28
6	0.046161455	B1	S28
7	-0.129942723	B1	S28
8	-0.068845918	B1	S28
9	-0.008409654	B1	S28
10	-0.003063145	B1	S28
11	0.115173989	B1	S28
12	0.118279584	B1	S28
13	0.119579087	B1	S28
14	0.004766208	B1	S28
15	0.244435841	B1	S28
16	0.129567458	B1	S28
17	0.313337652	B1	S28
18	0.195622222	B1	S28
19	0.194369189	B1	S28
20	0.256698889	B1	S28
21	0.321220037	B1	S28
22	0.019199653	B1	S28
23	0.078588487	B1	S28
24	0.434864662	B1	S28
25	0.37968317	B1	S28
26	0.617007376	B1	S28
27	0.926628852	B1	S28
28	1.279761995	B1	S28
29	1.710535985	B1	S28
30	2.190002908	B1	S28
31	2.721319074	B1	S28
32	3.147099698	B1	S28
33	3.560611753	B1	S28
34	3.874044534	B1	S28
35	3.989797776	B1	S28
36	4.142370203	B1	S28
37	4.422847063	B1	S28
38	4.70446285	B1	S28
39	4.539082479	B1	S28
40	4.775713713	B1	S28
1	-0.182256191	B2	N
2	-0.124578795	B2	N
3	-0.009765208	B2	N
4	0.044331647	B2	N
5	-0.010013163	B2	N
6	0.100025519	B2	N
