temperature	df/dt	Sample	genotype
73.37493151	4.404328375	C1	S23
73.43483366	4.596247645	C1	S23
73.49473581	4.792576641	C1	S23
73.55463796	4.981087523	C1	S23
73.61454012	5.156225343	C1	S23
73.67444227	5.320640903	C1	S23
73.73434442	5.477146618	C1	S23
73.79424658	5.634618171	C1	S23
73.85414873	5.807752575	C1	S23
73.91405088	5.995214484	C1	S23
73.97395303	6.174011892	C1	S23
74.03385519	6.33768668	C1	S23
74.09375734	6.495914536	C1	S23
74.15365949	6.64708599	C1	S23
74.21356164	6.78685694	C1	S23
74.2734638	6.901155007	C1	S23
74.33336595	6.96783624	C1	S23
74.3932681	7.000394471	C1	S23
74.45317025	7.039910152	C1	S23
74.51307241	7.097591708	C1	S23
74.57297456	7.15209711	C1	S23
74.63287671	7.193869069	C1	S23
74.69277886	7.22868326	C1	S23
74.75268102	7.2563401	C1	S23
74.81258317	7.278747001	C1	S23
74.87248532	7.298344554	C1	S23
74.93238748	7.309838261	C1	S23
74.99228963	7.297121114	C1	S23
75.05219178	7.259152823	C1	S23
75.11209393	7.210477689	C1	S23
75.17199609	7.142631061	C1	S23
75.23189824	7.042012641	C1	S23
75.29180039	6.92951701	C1	S23
75.35170254	6.842806968	C1	S23
75.4116047	6.789588731	C1	S23
75.47150685	6.746137677	C1	S23
75.531409	6.689904482	C1	S23
75.59131115	6.612632021	C1	S23
75.65121331	6.505813053	C1	S23
75.71111546	6.367860489	C1	S23
75.77101761	6.211612721	C1	S23
75.83091977	6.041589705	C1	S23
75.89082192	5.858022673	C1	S23
75.95072407	5.664741026	C1	S23
76.01062622	5.459328195	C1	S23
76.07052838	5.239425805	C1	S23
76.13043053	5.010460161	C1	S23
76.19033268	4.776727125	C1	S23
76.25023483	4.550102902	C1	S23
76.31013699	4.349751686	C1	S23
76.37003914	4.177643383	C1	S23
76.42994129	4.022860579	C1	S23
76.48984344	3.877074932	C1	S23
76.5497456	3.732638677	C1	S23
76.60964775	3.578597289	C1	S23
76.6695499	3.412716359	C1	S23
76.72945205	3.245793303	C1	S23
76.78935421	3.081333537	C1	S23
76.84925636	2.917398767	C1	S23
76.90915851	2.75663192	C1	S23
76.96906067	2.598023775	C1	S23
77.02896282	2.444138601	C1	S23
77.08886497	2.30268943	C1	S23
77.14876712	2.177333275	C1	S23
77.20866928	2.065449471	C1	S23
77.26857143	1.964541107	C1	S23
77.32847358	1.872081521	C1	S23
77.38837573	1.782683801	C1	S23
77.44827789	1.694921506	C1	S23
77.50818004	1.611399818	C1	S23
77.56808219	1.535621593	C1	S23
77.62798434	1.469442655	C1	S23
77.6878865	1.409197842	C1	S23
77.74778865	1.350273631	C1	S23
77.8076908	1.291442561	C1	S23
77.86759295	1.230571606	C1	S23
77.92749511	1.167627281	C1	S23
77.98739726	1.109947704	C1	S23
78.04729941	1.065008647	C1	S23
78.10720157	1.032529494	C1	S23
78.16710372	1.007634779	C1	S23
78.22700587	0.986333149	C1	S23
78.28690802	0.966123012	C1	S23
78.34681018	0.943357185	C1	S23
78.40671233	0.91627821	C1	S23
78.46661448	0.88662064	C1	S23
78.52651663	0.854359053	C1	S23
78.58641879	0.819437776	C1	S23
78.64632094	0.784020822	C1	S23
78.70622309	0.750941953	C1	S23
78.76612524	0.724548336	C1	S23
78.8260274	0.708901807	C1	S23
78.88592955	0.704658865	C1	S23
78.9458317	0.708559701	C1	S23
79.00573386	0.714039349	C1	S23
79.06563601	0.715379827	C1	S23
79.12553816	0.71124782	C1	S23
79.18544031	0.703113931	C1	S23
79.24534247	0.694056786	C1	S23
79.30524462	0.685809632	C1	S23
79.36514677	0.675984434	C1	S23
79.42504892	0.662309932	C1	S23
79.48495108	0.645931063	C1	S23
79.54485323	0.631014326	C1	S23
79.60475538	0.621730502	C1	S23
79.66465753	0.617908882	C1	S23
79.72455969	0.616597494	C1	S23
79.78446184	0.61525663	C1	S23
79.84436399	0.613005572	C1	S23
79.90426614	0.611520932	C1	S23
79.9641683	0.611800197	C1	S23
80.02407045	0.610328948	C1	S23
80.0839726	0.604975548	C1	S23
80.14387476	0.598024093	C1	S23
80.20377691	0.589640743	C1	S23
80.26367906	0.579809915	C1	S23
80.32358121	0.572263528	C1	S23
80.38348337	0.569742781	C1	S23
80.44338552	0.570963113	C1	S23
