Cycles	Fluorescence	Sample 	genotype
1	0.032293556	A6	N
2	0.14387961	A6	N
3	0.007840203	A6	N
4	-0.016974679	A6	N
5	-0.022286377	A6	N
6	-0.112458757	A6	N
7	-0.233437532	A6	N
8	-0.125409983	A6	N
9	-0.294682255	A6	N
10	-0.411302315	A6	N
11	-0.314706282	A6	N
12	-0.393951494	A6	N
13	-0.341863572	A6	N
14	-0.430009028	A6	N
15	-0.288306859	A6	N
16	-0.384035073	A6	N
17	-0.385254867	A6	N
18	-0.448562743	A6	N
19	-0.485888024	A6	N
20	-0.418949664	A6	N
21	-0.519822053	A6	N
22	-0.677545444	A6	N
23	-0.584513055	A6	N
24	-0.71260352	A6	N
25	-0.724023752	A6	N
26	-0.68136164	A6	N
27	-0.629464487	A6	N
28	-0.668321184	A6	N
29	-0.766572573	A6	N
30	-0.661855043	A6	N
31	-0.67915361	A6	N
32	-0.867681069	A6	N
33	-0.761405387	A6	N
34	-0.823159513	A6	N
35	-0.580700276	A6	N
36	-0.631901146	A6	N
37	-0.440675469	A6	N
38	-0.046485301	A6	N
39	0.280713382	A6	N
40	0.480069512	A6	N
1	0.079153506	B1	N
2	-0.051416489	B1	N
3	0.038012225	B1	N
4	-0.004030295	B1	N
5	-0.062371202	B1	N
6	0.079805761	B1	N
7	0.038751324	B1	N
8	-0.03753422	B1	N
9	0.086453808	B1	N
10	0.129484847	B1	N
11	0.074537065	B1	N
12	-0.025210555	B1	N
13	-0.078205168	B1	N
14	-0.073160771	B1	N
15	-0.020084027	B1	N
16	0.090960361	B1	N
17	0.090278609	B1	N
18	0.081250621	B1	N
19	0.143109687	B1	N
20	0.209847145	B1	N
21	-0.013589439	B1	N
22	-0.020767533	B1	N
23	0.032087672	B1	N
24	0.153833107	B1	N
25	0.091864193	B1	N
26	0.033706349	B1	N
27	0.091788096	B1	N
28	-0.067325099	B1	N
29	-0.067352064	B1	N
30	0.048459609	B1	N
31	0.148464508	B1	N
32	-0.013436691	B1	N
33	-0.007741704	B1	N
34	0.094609239	B1	N
35	0.149542431	B1	N
36	0.037381684	B1	N
37	0.03543503	B1	N
38	0.038798624	B1	N
39	-0.023160987	B1	N
40	-0.020366696	B1	N
1	-0.073132298	B2	N
2	-0.044295767	B2	N
3	0.03400631	B2	N
4	-0.054480329	B2	N
5	0.099843542	B2	N
6	-0.035073756	B2	N
7	0.140084283	B2	N
8	0.060322299	B2	N
9	0.025594701	B2	N
10	0.167613023	B2	N
11	0.010756258	B2	N
12	-0.028586217	B2	N
13	0.026567593	B2	N
14	0.138235785	B2	N
15	-0.022098165	B2	N
16	0.188753905	B2	N
17	0.030383794	B2	N
18	0.123925228	B2	N
19	0.132425518	B2	N
20	0.04143562	B2	N
21	0.143854	B2	N
22	-0.02319379	B2	N
23	0.183551679	B2	N
24	0.197643176	B2	N
25	0.083476446	B2	N
26	0.078907205	B2	N
27	0.081688536	B2	N
28	-0.015722728	B2	N
29	-0.016389674	B2	N
30	0.147607989	B2	N
31	0.081370447	B2	N
32	-0.018928484	B2	N
33	-0.011812494	B2	N
34	-0.074729858	B2	N
35	0.082526678	B2	N
36	-0.077250667	B2	N
37	0.130318523	B2	N
38	0.081799326	B2	N
39	-0.084487076	B2	N
40	-0.028784953	B2	N
1	-0.040702195	B3	S2
2	-0.012652306	B3	S2
3	0.063093708	B3	S2
4	0.028381489	B3	S2
5	-0.025686245	B3	S2
6	-0.053136646	B3	S2
7	-0.03688504	B3	S2
8	-0.111866376	B3	S2
9	-0.04546319	B3	S2
10	-0.059148048	B3	S2
11	-0.10927114	B3	S2
12	-0.198086917	B3	S2
13	-0.145266795	B3	S2
14	-0.189731337	B3	S2
15	-0.192167422	B3	S2
16	-0.141067389	B3	S2
17	-0.192238108	B3	S2
18	-0.151881282	B3	S2
19	-0.093988354	B3	S2
20	-0.030876674	B3	S2
21	-0.033485208	B3	S2
22	0.209747194	B3	S2
23	0.559045245	B3	S2
24	1.279937159	B3	S2
25	2.176523939	B3	S2
26	3.580592307	B3	S2
27	5.147877158	B3	S2
28	6.425271459	B3	S2
29	7.636085807	B3	S2
30	8.561247592	B3	S2
31	8.980605319	B3	S2
32	8.942798624	B3	S2
33	9.215443712	B3	S2
34	9.237651663	B3	S2
35	9.237441884	B3	S2
36	9.181859721	B3	S2
37	9.176330998	B3	S2
38	9.289741525	B3	S2
39	9.064986579	B3	S2
40	9.377307664	B3	S2
1	-0.117248217	B4	N
2	-0.003047077	B4	N
3	0.057280495	B4	N
4	-0.017326044	B4	N
5	0.02655299	B4	N
6	-0.063460365	B4	N
7	-0.039211211	B4	N
8	-0.027559725	B4	N
9	-0.100833405	B4	N
10	-0.12106219	B4	N
11	-0.169715857	B4	N
12	-0.054474924	B4	N
13	-0.246026001	B4	N
14	-0.237181055	B4	N
15	-0.191991058	B4	N
16	-0.141936304	B4	N
17	-0.240954844	B4	N
18	-0.353342271	B4	N
19	-0.293471272	B4	N
20	-0.22604904	B4	N
21	-0.376573378	B4	N
22	-0.242282165	B4	N
23	-0.392770225	B4	N
24	-0.27684533	B4	N
25	-0.337297447	B4	N
26	-0.440733077	B4	N
27	-0.339006747	B4	N
28	-0.328607529	B4	N
29	-0.476127349	B4	N
30	-0.27202106	B4	N
31	-0.338550183	B4	N
32	-0.430222854	B4	N
33	-0.371688199	B4	N
34	-0.483088204	B4	N
35	-0.385449311	B4	N
36	-0.485944375	B4	N
37	-0.342194904	B4	N
38	-0.434458797	B4	N
39	-0.445763242	B4	N
40	-0.441481487	B4	N
1	-0.056698954	B5	N
2	-0.030715255	B5	N
3	-0.007421923	B5	N
4	0.008076	B5	N
5	0.052688193	B5	N
6	-0.022627015	B5	N
7	0.137460857	B5	N
8	0.064324506	B5	N
9	0.080769838	B5	N
10	0.06698479	B5	N
11	0.019277259	B5	N
12	0.127053449	B5	N
13	0.081722851	B5	N
14	-0.007991271	B5	N
15	0.085361866	B5	N
16	0.038196168	B5	N
17	0.085366531	B5	N
18	0.075030068	B5	N
19	0.082824682	B5	N
20	0.095844251	B5	N
21	-0.002716783	B5	N
22	-0.011214029	B5	N
23	-0.013744975	B5	N
24	0.04713826	B5	N
25	0.039401938	B5	N
26	-0.01190483	B5	N
27	0.03931256	B5	N
28	-0.000860997	B5	N
29	-0.000831514	B5	N
30	0.101315206	B5	N
31	0.185041899	B5	N
32	-0.002494309	B5	N
33	0.052300324	B5	N
34	0.13865377	B5	N
35	0.330372148	B5	N
36	0.568104494	B5	N
37	1.045105458	B5	N
38	1.529829715	B5	N
39	1.806625737	B5	N
40	2.290586976	B5	N
1	-0.259732072	B6	N
2	-0.099259223	B6	N
3	-0.039139765	B6	N
4	-0.016987661	B6	N
5	0.121393346	B6	N
6	0.033993302	B6	N
7	0.105193567	B6	N
